redshift,modDist,sigma
0.050043,36.7730018543,0.153148680782
0.052926,36.8241423261,0.148454214927
0.02513,35.1678175291,0.165420933733
0.070086,37.567740156,0.15403068043
0.062668,37.5515804571,0.145317136417
0.087589,38.1915656352,0.159495013964
0.078577,37.5212710132,0.147429338762
0.017227,34.6546665523,0.1880259565
0.042233,36.3586532798,0.152312134352
0.045295,36.6566139461,0.148758275509
0.019599,34.5182384466,0.179081303451
0.100915,38.5088119689,0.145279087383
0.027342,35.2300574166,0.171939536277
0.074605,37.6663645268,0.147931348064
0.026489,35.5199700817,0.182864910719
0.049922,36.6999653546,0.146530609404
0.030604,35.5404531616,0.161624590233
0.016345641,34.0924538801,0.144775220876
0.0154363,34.0329851021,0.150597548663
0.030529,35.5818149937,0.0920067053122
0.024525,34.9577174302,0.109085696057
0.023953,34.935520479,0.115625212493
0.026038,35.3566237332,0.106784897071
0.048948,36.6391120177,0.1766982111
0.024314,35.0794913195,0.18643839963
0.015166,34.2041114924,0.225518080121
0.03572,36.1050539158,0.188094161827
0.048818,36.3507343053,0.166961986591
0.0219800059146,34.8811235819,0.196258768364
0.0275,35.6735856723,0.181507304221
0.1244,38.9521645786,0.168017789501
0.036,35.8260342723,0.173778570484
0.01673,34.1592687583,0.209352704395
0.016321,34.1144805357,0.209884301455
0.021793,34.9048499767,0.282608881266
0.01645,34.1818298266,0.292212075551
0.023208,35.117280195,0.276622195571
0.036457,36.1142750974,0.267250650207
0.019264,35.1559953619,0.285695464272
0.017605,34.3943547917,0.308882749558
0.031528,35.7346061594,0.270713039098
0.023536,35.1870287376,0.278885118559
0.016743,33.8878121745,0.292567467485
0.05371,36.4559044522,0.268351164818
0.016991,34.2677976869,0.290910806654
0.027865,35.0340198507,0.273008042132
0.017173,34.1860410198,0.293258906218
0.029955,35.9589514911,0.273866480307
0.016559,34.3764044862,0.292368203484
0.015,34.0959952821,0.145904476604
0.0544,36.9686138698,0.0771934613908
0.1561,39.294455039,0.0599663857105
0.0393,36.3055280023,0.0717497761757
0.1241,38.8100134766,0.0715971658275
0.1441,39.0528219919,0.0634435595707
0.1299,38.9956124177,0.0631822941145
0.0784,37.7810061412,0.0681153647931
0.62,43.2066240148,0.374321656282
0.57,42.6299495836,0.329397155099
0.3,40.9068557079,0.322661461524
0.38,41.981448045,0.294675002057
0.43,42.2865323661,0.353944288913
0.24,40.92039446,0.604691512396
0.3,40.152454556,0.463180764839
0.24,40.8941528415,0.281508606621
0.44,42.0189541221,0.290912412354
0.5,42.4251183643,0.285032220696
